"Filename","Frame","Time (mins)","OpCode","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Activity","count"
"EP_RS2_B5_20Apr2026_GX014682.MP4",33511,18.6358,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",34041,18.9306,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",34041,18.9306,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",34265,19.0551,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",34265,19.0551,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",34492,19.1814,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",36572,20.3381,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",37013,20.5833,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",37013,20.5833,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",37550,20.882,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",38783,21.5677,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.anolius","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",38994,21.685,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.anolius","Passing",1
