Point measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday 26 May 2026 15:49:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,Sampling period,Date,Site,Treatment,Camera no.,,,,Family,Genus,Species,Code,Number,Stage,Activity,Comment
EP_RS2_B1_18June2025_GX010015.MP4,72827,20.25,,,930.14,585.91,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,73804,20.5216,,,982.16,577.24,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,78074,21.7089,,,655.18,635.46,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,81219,22.5834,,,755.5,111.48,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,89085,24.7706,,,708.44,179.61,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,95542,26.566,,,312.11,1566.97,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,97004,26.9725,,,947.48,241.55,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,105346,29.292,,,1041.61,1609.08,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,107162,29.797,,,460.73,1539.72,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,122357,34.022,,,516.47,1071.48,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B5_20Apr2026_GX014682.MP4,11112,6.1795,,,143.67,1512.46,0,0,EP_RS2_B5_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,B5,,,,Gobiidae,Favonigobius,exquisitus,37428141,1,AD,Passing,
EP_RS2_B5_20Apr2026_GX014682.MP4,27275,15.1679,,,890.5,1758.97,0,0,EP_RS2_B5_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,B5,,,,Monacanthidae,Scobinichthys,granulatus,37465007,1,AD,Passing,
EP_RS2_B5_20Apr2026_GX014682.MP4,27667,15.3859,,,989.59,288.62,0,0,EP_RS2_B5_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,B5,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_B5_20Apr2026_GX014682.MP4,33511,18.6358,,,980.92,1674.74,0,0,EP_RS2_B5_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,B5,,,,Pomacentridae,Abudefduf,sexfasciatus,37372011,1,AD,Passing,
