"Code","Frame","Time (mins)","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Stage","Activity","count"
"EP_RS2_B5_20Apr2026",46373,25.7885,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",46405,25.8063,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Girella.elevata","AD","Passing",1
"EP_RS2_B5_20Apr2026",46945,26.1066,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47018,26.1472,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",47781,26.5715,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B5_20Apr2026",51986,28.91,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",51986,28.91,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",51986,28.91,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",51986,28.91,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",54390,30.2469,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",54784,30.466,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",54917,30.54,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",55113,30.649,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",56370,31.348,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",56548,31.447,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",56873,31.6277,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",57112,31.7606,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",57352,31.8941,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",57443,31.9447,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",57443,31.9447,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",57443,31.9447,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",57443,31.9447,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",57443,31.9447,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",59034,32.8295,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
